Age,Gender,WorkingClass,Education,MaritalStatus,Occupation,Relationship,Race,NativeCountry,Income
36,Female,Private,10th,Separated,Machine-op-inspct,Not-in-family,White,United-States,<=50K
41,Male,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,United-States,<=50K
28,Male,Private,HS-grad,Never-married,Transport-moving,Own-child,White,United-States,<=50K
19,Male,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Black,United-States,<=50K
18,Female,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,<=50K
18,Female,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,United-States,<=50K
28,Male,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
29,Male,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
20,Female,?,HS-grad,Never-married,?,Own-child,White,United-States,<=50K
40,Male,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,<=50K
26,Male,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,United-States,<=50K
46,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
23,Female,Private,11th,Never-married,Other-service,Not-in-family,White,United-States,<=50K
44,Female,Private,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,White,United-States,<=50K
43,Female,Private,Bachelors,Divorced,Sales,Unmarried,White,United-States,>50K
31,Female,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,United-States,<=50K
18,Female,Private,Some-college,Never-married,Sales,Own-child,White,United-States,<=50K
19,Male,Private,Some-college,Never-married,Protective-serv,Own-child,White,United-States,<=50K
41,Female,Private,Some-college,Divorced,Tech-support,Not-in-family,White,United-States,<=50K
41,Female,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,United-States,<=50K
69,Female,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,<=50K
48,Female,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,United-States,>50K
28,Male,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,United-States,<=50K
27,Male,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Ireland,>50K
41,Male,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
41,Male,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,United-States,<=50K
24,Female,Private,HS-grad,Never-married,Craft-repair,Unmarried,Black,United-States,<=50K
20,Female,?,HS-grad,Never-married,?,Not-in-family,White,United-States,<=50K
42,Male,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
57,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,United-States,<=50K
30,Female,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
36,Male,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,>50K
49,Male,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,United-States,<=50K
33,Female,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,United-States,<=50K
23,Male,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,United-States,<=50K
46,Male,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,<=50K
18,Female,Private,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Germany,<=50K
40,Male,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
43,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
34,Female,Private,Masters,Never-married,Prof-specialty,Own-child,White,United-States,<=50K
47,Female,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,United-States,<=50K
44,Female,Private,Assoc-voc,Widowed,Exec-managerial,Unmarried,White,United-States,<=50K
33,Male,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,>50K
55,Male,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
19,Male,Private,HS-grad,Never-married,Sales,Not-in-family,White,United-States,<=50K
28,Male,Private,Some-college,Never-married,Other-service,Not-in-family,Black,United-States,<=50K
27,Female,Private,11th,Married-civ-spouse,Other-service,Wife,Black,United-States,<=50K
50,Male,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
22,Male,Private,11th,Never-married,Craft-repair,Unmarried,White,United-States,<=50K
40,Male,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,United-States,>50K
25,Female,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,<=50K
26,Male,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,<=50K
22,Male,Private,Bachelors,Never-married,Sales,Not-in-family,White,United-States,<=50K
42,Female,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Black,United-States,<=50K
38,Male,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,United-States,<=50K
55,Male,Private,11th,Married-civ-spouse,Other-service,Husband,White,United-States,<=50K
32,Male,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,<=50K
22,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
29,Male,Private,Bachelors,Never-married,Sales,Own-child,White,United-States,<=50K
46,Male,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
31,Male,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
58,Male,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
42,Male,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
18,Male,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,United-States,<=50K
58,Male,Local-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,United-States,<=50K
54,Male,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
34,Male,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
26,Female,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,United-States,<=50K
61,Male,Private,12th,Married-civ-spouse,Exec-managerial,Husband,White,United-States,<=50K
48,Female,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Black,United-States,<=50K
36,Male,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
24,Male,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
40,Male,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
33,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,>50K
37,Male,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,>50K
34,Male,Private,Masters,Never-married,Exec-managerial,Own-child,White,United-States,<=50K
56,Male,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
28,Female,?,HS-grad,Married-civ-spouse,?,Own-child,White,United-States,>50K
37,Female,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,United-States,<=50K
44,Female,Private,HS-grad,Divorced,Sales,Unmarried,Black,United-States,<=50K
64,Male,?,Some-college,Married-civ-spouse,?,Husband,White,United-States,<=50K
54,Male,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,United-States,<=50K
23,Male,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,United-States,<=50K
34,Male,State-gov,Bachelors,Married-spouse-absent,Farming-fishing,Not-in-family,Black,?,<=50K
22,Female,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,<=50K
33,Male,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
39,Male,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,United-States,>50K
47,Female,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,United-States,<=50K
79,Male,?,7th-8th,Widowed,?,Not-in-family,White,United-States,<=50K
26,Female,Private,HS-grad,Never-married,Prof-specialty,Unmarried,Black,United-States,<=50K
31,Female,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,United-States,<=50K
44,Male,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,United-States,<=50K
42,Female,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,United-States,>50K
19,Female,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,United-States,<=50K
27,Male,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,>50K
51,Male,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,United-States,>50K
28,Male,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,<=50K
57,Male,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,United-States,<=50K
45,Female,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,United-States,<=50K
50,Male,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
34,Male,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,<=50K
45,Male,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Black,United-States,<=50K
73,Male,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,<=50K
34,Female,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,United-States,>50K
31,Male,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,>50K
19,Male,Private,11th,Never-married,Sales,Not-in-family,White,United-States,<=50K
25,Female,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
38,Female,Federal-gov,Assoc-voc,Divorced,Craft-repair,Unmarried,White,United-States,<=50K
39,Male,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,United-States,<=50K
23,Female,Private,Bachelors,Never-married,Tech-support,Own-child,Black,United-States,<=50K
49,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
33,Male,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,<=50K
21,Male,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,White,Mexico,<=50K
31,Male,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,United-States,<=50K
23,Female,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
34,Male,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Philippines,<=50K
25,Female,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Philippines,<=50K
39,Male,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,United-States,<=50K
52,Male,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,>50K
63,Male,Local-gov,9th,Married-civ-spouse,Transport-moving,Husband,White,United-States,>50K
41,Male,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
46,Male,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
53,Male,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,<=50K
25,Female,?,9th,Separated,?,Not-in-family,White,United-States,<=50K
77,Male,?,Some-college,Married-civ-spouse,?,Husband,White,United-States,<=50K
18,Male,Private,12th,Never-married,Priv-house-serv,Own-child,White,United-States,<=50K
38,Male,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,United-States,<=50K
55,Female,Private,Masters,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Thailand,<=50K
34,Male,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,United-States,>50K
80,Male,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,United-States,<=50K
34,Female,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,United-States,<=50K
52,Male,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,United-States,<=50K
42,Female,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Haiti,<=50K
26,Female,Private,Some-college,Never-married,Sales,Not-in-family,White,United-States,<=50K
31,Male,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,<=50K
25,Female,Local-gov,HS-grad,Never-married,Other-service,Own-child,White,United-States,<=50K
55,Male,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
19,Female,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,<=50K
62,Male,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,United-States,<=50K
22,Female,Federal-gov,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,<=50K
39,Female,?,HS-grad,Married-civ-spouse,?,Wife,White,United-States,<=50K
35,Male,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,<=50K
28,Female,Private,HS-grad,Married-civ-spouse,Sales,Own-child,White,United-States,<=50K
47,Male,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,>50K
44,Male,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,<=50K
21,Male,Private,Some-college,Never-married,Sales,Own-child,White,United-States,<=50K
35,Male,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,United-States,<=50K
24,Male,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,>50K
42,Male,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,?,<=50K
28,Male,Private,Bachelors,Never-married,Tech-support,Own-child,White,United-States,<=50K
21,Male,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,United-States,<=50K
62,Male,Federal-gov,Some-college,Divorced,Tech-support,Not-in-family,Black,United-States,<=50K
39,Female,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,United-States,<=50K
30,Male,State-gov,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,<=50K
72,Male,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
50,Female,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,United-States,<=50K
28,Male,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
29,Female,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,United-States,<=50K
26,Female,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,United-States,<=50K
27,Female,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
29,Male,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,>50K
61,Male,?,HS-grad,Married-civ-spouse,?,Husband,White,United-States,<=50K
29,Male,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,United-States,<=50K
21,Female,?,Some-college,Never-married,?,Own-child,White,United-States,<=50K
31,Female,Private,11th,Married-civ-spouse,Sales,Wife,White,United-States,<=50K
25,Male,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,<=50K
58,Male,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,United-States,>50K
64,Female,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,United-States,>50K
46,Male,State-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,United-States,<=50K
53,Male,?,HS-grad,Married-civ-spouse,?,Husband,White,United-States,>50K
19,Female,Private,HS-grad,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,United-States,<=50K
42,Male,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,United-States,<=50K
18,Male,Private,11th,Never-married,Handlers-cleaners,Own-child,White,United-States,<=50K
58,Male,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,>50K
20,Male,Private,Some-college,Never-married,Protective-serv,Not-in-family,Black,United-States,<=50K
35,Male,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,>50K
32,Male,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,>50K
23,Female,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,United-States,<=50K
31,Female,Private,Some-college,Divorced,Tech-support,Unmarried,White,United-States,<=50K
33,Male,Private,Bachelors,Married-civ-spouse,Sales,Husband,Black,United-States,<=50K
41,Female,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,United-States,<=50K
22,Male,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,United-States,<=50K
46,Male,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,United-States,>50K
61,Male,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,United-States,<=50K
30,Male,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,United-States,<=50K
42,Male,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,>50K
63,Male,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,<=50K
26,Male,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,<=50K
42,Female,Private,10th,Divorced,Adm-clerical,Unmarried,White,United-States,<=50K
23,Male,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,United-States,<=50K
25,Male,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,United-States,<=50K
30,Male,Private,9th,Married-civ-spouse,Other-service,Husband,White,El-Salvador,>50K
23,Male,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,<=50K
34,Male,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Not-in-family,White,United-States,>50K
30,Male,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,White,United-States,<=50K
39,Male,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,>50K
30,Male,Private,11th,Never-married,Handlers-cleaners,Other-relative,White,Puerto-Rico,<=50K
38,Female,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,United-States,<=50K
26,Female,Private,HS-grad,Divorced,Exec-managerial,Own-child,White,United-States,<=50K
20,Male,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,United-States,<=50K
37,Male,Local-gov,Bachelors,Never-married,Prof-specialty,Unmarried,Black,?,<=50K
